"Espanol","Italiano","English","Success","Total"
"deslizar","scivolare","to slide",0,3
"ira","rabbia","anger",0,1
"abajo","giù","down",1,1
"gafas","occhiali","glasses",0,1
"de golpe","improvvisamente","suddenly",0,1
"gotear","sgocciolare","to drip",0,9
"ocurrir, suceder","avvenire, succedere","to happen, to occur",2,4
"proteger","proteggere","to protect",2,4
"estar al tanto","essere a conoscenza","to be aware",0,3
"agarrar","afferare","to grab",0,3
"siguiente","prossimo","next",0,3
"retirar","rimuovere","to remove",0,3
"soltar","rilasciare","to release",0,3
"aterrizar","atterrare","to land",1,3
"sido, estado","stato","been",1,2
"pues","poi","then",1,2
"descargar","caricare","to download",1,2
"volador","volante","flying",0,2
"hace meses que","mesi fa","months ago",1,2
"antes de","prima di","before",2,2
"empezar, comenzar","iniziare, cominciare","to begin",2,7
"paracer, aparecer","apparire","to seem, to appear",1,6
"suponer ","supporre","to suppose ",1,6
"aunque","sebbene","although",0,6
"ventana","finestra","window",1,1
"listo","pronto","ready",0,1
"esconder","nascondere","to hide",0,1
"ojos","occhi","eyes",1,1
"ley","legge","law",0,1
"segundo","secondo","second",1,1
"atrever","osare","to dare",1,10
"pertenecerse","appartenere","to belong",0,5
"ya","già","already",1,5
"algún","alcuni","some",1,5
"regresar","ritornare","to return",2,5
"derrotar","sconfiggere","defeat",1,9
"así","così","so",0,9
"estremecer","tremare","to shake, to tremble",0,4
"dar cuenta","realizarre","to realize",3,8
"delante de","davanti","in front of",0,4
"aún","ancora","yet",1,8
"encuentro","partita","match, encounter",0,4
"susurrar","sussurrare","to whisper",2,4
"chillar","urlare","to shriek",2,4
"levantar ","sollevare","to raise, to lift ",3,4
"encima","sopra","above",2,7
"caer ","cadere","to fall ",2,3
"ese","quello","that",2,3
"encontrar","trovare","to find",2,3
"volver","tornare","to return",2,3
"escoba","scopa","broom",1,2
"sombra","ombra","shadow",2,2
"demasiado","troppo","too",1,5
"llegar, alcanzare","raggiungere","to reach",1,5
"temblor","tremore","tremor",3,5
"dirigir ","dirigere","to direct ",2,5
"patadas","calci","kicks",0,1
"echar, lanzar","gettare","to throw",1,7
"nunca","mai","never",2,4
"repentino","improvviso","sudden",0,4
"a veces","a volta","sometimes",2,4
"realizar ","realizarre","to achieve, attain, accomplish ",1,4
"añadir","aggiungere","to add (as in conversation)",0,1
"asi pues","affinche","so that",2,7
"hasta","fino a","until",0,1
"terminar","terminare","to finish, to end",0,1
"más","più","more",1,1
"gato","gatto","cat",1,1
"cada","ogni","any, some",1,1
"silla","sedia","seat",2,4
"hacer","fare","to do, to make",1,1
"llorar","piangere","to cry",2,4
"opinar","opinare","to think, to be of the opinion",1,1
"lugar","luogo","a place",1,1
"mientras","mentre","while",1,1
"jugar ","giocare","to play (a game or sport) ",1,1
"por qué","perche","why",1,1
"encerrar","rinchiudere","to enclose, to trap",0,6
"espalda","schiena","back",1,6
"doloroso","doloroso","painful",2,3
"quedar","restare","to remain",0,3
"falta","mancanza","a lack",0,3
"amenaza","minaccia","threat",4,11
"miembro","membro","member",1,3
"intentar","tentare","to attempt",1,5
"verdad","verità","truth",0,0
"mañana","mattina","morning",0,0
"largo","lungo","long",0,0
"loco","pazzo","crazy",0,0
"coger","catturare","to catch",0,0
"permitir ","permettere","to permit, allow ",0,0
"delgado","sottile","thin",0,0
"llaves","chiavi","keys",0,0
"pasaje","passaggio","passage",0,0
"retorcido","ritorto","twisted",0,0
"primero","primo","first",0,0
"tercero","terzo","third",0,0
"limpio","pulito","clean",0,0
"asustar","spaventare","to scare",2,7
"cruzar","attraversare","to cross",3,7
"ganar ","vincere","to win",1,2
"menos mal","meno male","Thank God!",2,2
"reír","ridere","to laugh",2,2
"siquiera","almeno","at least",2,9
"primera vez","prima volta","first time",1,2
"someter","sottomettersi","to submit",0,2
"reconocer ","riconoscere","to recognize ",1,2
"gustar ","piacere","to please, be pleasing ",2,2
"tampoco","né","neither",3,9
"culpa","colpa","guilt",1,2
"decir","dire","to say",1,2
"producir","rendere","to produce",0,2
"cumplir ","completare","to fulfil, carry out ",0,2
"disfrute","godimento","enjoyment",0,2
"advertir","avvertire","to warn",1,2
"preguntar","chiedere, domandare","to ask",1,2
"recordarse","ricordarsi","to remember",2,2
"poner","mettere","to put, to place",2,2
"entre","fra, tra","between",2,4
"cualquier","qualsiasi","any",0,4
"señalar","segnalare","to signal",1,4
"introducir","introdurre","to introduce ",2,4
"descubrir ","scoprire","to discover ",1,4
"extraño","strano","strange",3,4
"servir ","servire","to serve ",2,4
"golpear","colpire","to hit",2,4
"este","questo","this",2,4
"alli","là","there",2,4
"acercar","avvicinare","to get close",3,4
"llenar","riempire","to fill",3,6
"enhorabuena","complimenti","congratulations",4,8
"hay","c'è, ci sono","there is, there are",1,1
"franqueza","franchezza","frankness",1,3
"justo","giusto","right (i.e. is that right)",1,3
"deber","dovere","to ought to/should",1,1
"enseguida","subito","at once",0,1
"casi","quasi","almost",0,3
"parecido, similar","simile","similar",1,3
"presentar","presentare","to present",1,1
"hundir","affondare","to sink",0,1
"atar, adjuntar","allegare","to attach",0,1
"alrededor","in giro","around",1,1
"ofrecer ","offrire","to offer ",1,3
"dar ","dare","to give",1,1
"cantidad","quantità","quantity",1,3
"recoger","raccogliere","to collect",0,1
"atrás","indietro","behind",0,1
"dejar","lasciare","to let, to allow",1,1
"preguntar ","domandare","to ask, inquire ",2,3
"contar","contare","to count, to tell",1,1
"aquí","qui","here",1,3
"quien","chi","who",2,3
"todo","tutto","all",1,1
"mucho","molto","many",1,1
"intentar ","provare","to try, attempt ",1,1
"aceptar ","accettare","to accept, approve, to agree to ",1,1
"ayudar ","aiutare","to help ",1,1
"papel","carta","paper",1,1
"explicar ","spiegare","to explain ",1,1
"creer","credere","to believe",1,1
"vigilar, ver","guardare","to watch",3,3
"alguien","qualcuno","someone",2,3
"empujar","spingere","to push",0,1
"entender","capire","to understand",1,1
"reloj","orologio","clock",1,1
"venir","venire","to come",1,1
"acarrear, transportar","trasportare","to carry, to transport",1,1
"buscar","cercare","to look for",1,1
"alivio","sollievo","relief",4,6
"adquirir","acquisire","to acquire",0,2
"preocuparse","preoccuparsi","to worry",1,2
"tomar","prendere","to take",2,2
"mantener ","mantenere","to maintain, get ",2,2
"cartas","lettere","letters",2,2
"riesgo","rischio","a risk",0,2
"desaparecer","scomparire","to disappear",0,2
"aquel, que","che","that",2,2
"saber","sapere","to know",2,2
"aburrido","noioso","boring",1,2
"subir","salire","to rise, to go up",1,2
"recibir","ricevere","to receive",1,2
"contestar","rispondere","to answer",1,2
"llover","piovere","to rain",1,2
"existir","esistere","to exist",1,2
"igual","uguale","equal",2,2
"cambiar ","cambiare","to change ",2,2
"peor","peggio","worse",2,2
"pared","muro","wall",2,2
"casi","quasi","almost",1,2
"usar ","usare","to use ",2,2
"dejar","lasciare","to let",2,2
"semana","settimana","week",1,2
"entonces","poi","then",1,2
"siempre","sempre","always",2,2
"querer","volere","to want, to love",2,2
"ser, estar","essere, stare","to be",2,2
"correr ","correre","to run ",2,2
"conocer","conoscere","to know (people, places)",2,2
"ruido","rumore","noise",2,2
"cerradura","serratura","a lock",2,2
"tener","avere","to have",2,2
"techo","soffitto","ceiling",3,5
"pronto","presto","soon",0,0
"trabajar","lavorare","to work",0,0
"partir ","partire","to leave",0,0
"fondo","sfondo","back, depth, background",0,0
"aprender","imparare, apprendere","to learn",0,0
"escondido","nascosto","hidden",0,0
"sueño","sogno","dream",3,5
"interés","interesse","interest",0,0
"basura","rifiuti","trash",0,0
"fue","era","it was",0,0
"camisa","camicia","shirt",0,0
"sin embargo","tuttavia","however",0,0
"boquiabierto","-","agape",2,3
"cada","ogni","each",2,3
"de nuevo","di nuovo","again",2,3
"peligro","pericolo","danger",2,3
"formar ","formare","to form, shape, fashion, make ",2,3
"enfadarse","arrabbiarsi","to get angry with",2,3
"suelo","terra","ground",1,3
"muchacho","ragazzo","boy",2,3
"fácil","facile","easy",2,3
"quizá","forse","perhaps",2,3
"cerrar","chiudere","to close",3,3
"acabado, finito","finito","finished",3,3
"apostar","scommettere","to bet",0,1
"traer ","portare","to bring",2,4
"viejo","vecchio","old",1,1
"sentir","sentire","to feel",1,1
"enviar","mandare","to send",1,1
"sorprender","sorprendere","to surprise",1,1
"alguien","qualcuno","whoever",1,1
"cabeza","testa","head",1,1
"limitado","ristretto","limited, restricted",0,1
"donde","dove","where",1,1
"perder","perdere","to lose",1,1
"enfurecidos","arrabbiati","angry",2,4
"olvidar","dimenticare","to forget",1,1
"malo","male, cattivo","bad",1,1
"coche","macchina","car",1,1
"enseñar","insegnare","to teach",1,1
"crear ","creare","to create, to make ",1,1
"rostro, cara","faccia","face",3,4
"perro","cane","dog",1,1
"adivinar","indovinare","to guess",1,1
"tocar ","toccare","to touch, to play (an instrument) ",1,1
"ir","andare","to go",1,1
"hecho","fatto","done",1,1
"conseguir , obtener, sacar","ottenere","to get, obtain ",1,1
"pensar","pensare","to think",2,2
"cama","letto","bed",2,2
"estudiar ","studiare","to study ",2,2
"poder","potere","to be able to",2,2
"pasar","pasare","to pass, to happen",2,2
"bastar","bastare","to be enough",2,2
"horno","forno","oven",2,2
"resultar ","risultare","to turn out (to be) ",2,2
"abrir ","aprire","to open ",2,2
"hermana","sorella","sister",2,2
"mundo","mondo","world",2,2
"salir","uscire","to leave, to go out",2,2
"oír","sentire","to hear",2,2
"derecho","destra","right (i.e. turn right)",2,2
"morir ","morire","to die ",2,2
"esperar","sperare","to hope",2,2
"vivir","abitare","to live",2,2
"feo","brutto","ugly",2,2
"considerar ","considerare","to consider ",2,2
"mirar","guardare","to look at",2,2
"pero","ma","but",2,2
"llamar","chiamare","to call",2,2
"habitación","stanza","room",2,2
"menos","meno","less",2,2
"a través","attraverso","across",2,2
"noche","notte","night",2,2
"periódicos","giornali","newspapers",4,6
"escuchar ","ascoltare","to listen, hear ",3,3
"pagar ","pagare","to pay, pay for ",3,3
"pedir","chiedere","to ask for, to request",3,3
"quando","quando","when",3,3
"sudor","sudore","sweat",2,3
"necesitar","avere bisogno","to need",4,4
"mejor","meglio","better",3,4
"convertir ","convertire","to convert, change ",2,4
"mirada","sguardo","a look",0,0
"asombrosas","stupefacente","amazing",0,0
"espejo","specchio","mirror",0,0
"entrar","entrare","to enter",1,1
"desde","da","from",1,1
"seguir","seguire","to follow, to continue",1,1
"espantosamente","spaventosamente","frightfully",1,1
"nacer ","nascere","to be born ",1,1
"levantar","sollevare","to lift",1,1
"mismo","stesso","same",1,1
"después","dopo","after",1,2
"detener","detenere","to detain, to stop",1,2
"comportarse","comportarsi","to behave",2,2
"pequeño","piccolo","small",2,2
"llevar","portare","to carry",2,2
"tratar","trattare","to treat, to handle",1,2
"comprender ","capire","to understand, comprehend ",2,2
"leer","leggere","to read",2,2
"sucio","sporco","dirty",2,2
"escribir","scrivere","to write",2,2
"sin","senza","without",3,3
"hablar","parlare","to speak",2,2
"utilizar ","utilizzare","to use, utilize ",2,2
"así, tan","cosi, quindi","so",2,2
"hermano","fratello","brother",1,1
"mencionar","menzionare","to mention",0,0
"habilidades","abilità","abilities",0,0
"si","se","if",1,1
